,상가업소번호,상호명,상권업종대분류명,상권업종소분류명,지번주소,도로명주소
0,MA0101202210A0084499,베트남쌀국수퍼짱,음식,베트남식 전문,세종특별자치시 세종특별자치시 나성동 732,세종특별자치시 세종특별자치시 한누리대로 311
1,MA010120220805431936,책통클럽읽기훈련센타,교육,그 외 기타 교육기관,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
2,MA010120220805434190,더함인테리어컨설팅,과학·기술,인테리어 디자인업,세종특별자치시 세종특별자치시 연서면 봉암리 637-3,세종특별자치시 세종특별자치시 연서면 당산로 294
3,MA010120220805432469,모더니엘살롱,수리·개인,미용실,세종특별자치시 세종특별자치시 나성동 764,세종특별자치시 세종특별자치시 한누리대로 288
4,MA010120220805435562,카이젠교육,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 760,세종특별자치시 세종특별자치시 남세종로 450
5,MA010120220805437826,가재세탁,수리·개인,세탁소,세종특별자치시 세종특별자치시 종촌동 679,세종특별자치시 세종특별자치시 도움3로 159
6,MA010120220805436870,세종유도관,교육,태권도/무술학원,세종특별자치시 세종특별자치시 보람동 757,세종특별자치시 세종특별자치시 남세종로 462
7,MA010120220805437034,세종마취과,보건의료,기타 의원,세종특별자치시 세종특별자치시 조치원읍 남리 119-12,세종특별자치시 세종특별자치시 조치원읍 새내1길 17
8,MA010120220805437036,위스콘신이케이어학원,교육,외국어학원,세종특별자치시 세종특별자치시 아름동 1344,세종특별자치시 세종특별자치시 달빛1로 131
9,MA010120220805439448,세종종합법률사무소,과학·기술,변호사,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로 30
10,MA010120220805438755,수유리혼밥왕,음식,백반/한정식,세종특별자치시 세종특별자치시 어진동 667,세종특별자치시 세종특별자치시 가름로 194
11,MA010120220805442296,천지연가든,음식,백반/한정식,세종특별자치시 세종특별자치시 연서면 성제리 586-14,세종특별자치시 세종특별자치시 연서면 월하천로 3
12,MA010120220805441629,엄마손김밥,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 나성동 747,세종특별자치시 세종특별자치시 한누리대로 245
13,MA010120220805440526,아르드뽀에스테틱,수리·개인,피부 관리실,세종특별자치시 세종특별자치시 나성동 750,세종특별자치시 세종특별자치시 한누리대로 227
14,MA010120220805441159,목향재,숙박,여관/모텔,세종특별자치시 세종특별자치시 고운동 1754,세종특별자치시 세종특별자치시 만남로6길 33
15,MA010120220805440735,아름다운기획,과학·기술,광고물 설계/제작업,세종특별자치시 세종특별자치시 장군면 도계리 19-5,세종특별자치시 세종특별자치시 장군면 풍덕골길 21-13
16,MA010120220805444116,스튜디오에프피,과학·기술,패션/섬유/기타 전문 디자인업,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
17,MA010120220805443708,머슬케어필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 나성동 788,세종특별자치시 세종특별자치시 나성북1로 12
18,MA010120220805443477,쿠헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 조치원읍 정리 34-1,세종특별자치시 세종특별자치시 조치원읍 새내8길 17
19,MA010120220805442955,올진스시,음식,일식 회/초밥,세종특별자치시 세종특별자치시 어진동 539,세종특별자치시 세종특별자치시 한누리대로 411
20,MA010120220805444812,부동산땅집go공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 조치원읍 신흥리 1-23,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길 43
21,MA010120220805445264,뷰티호텔,수리·개인,피부 관리실,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길 3
22,MA010120220805445058,딥핑크,소매,그 외 기타 종합 소매업,세종특별자치시 세종특별자치시 새롬동 584,세종특별자치시 세종특별자치시 새롬중앙로 55
23,MA010120220805447501,로엘라,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 원리 1-22,세종특별자치시 세종특별자치시 조치원읍 조치원7길 12
24,MA010120220805446670,다카렌터카,시설관리·임대,자동차 대여업,세종특별자치시 세종특별자치시 장군면 대교리 135-3,세종특별자치시 세종특별자치시 장군면 대교길 147
25,MA010120220805446877,세종드럼뮤직학원,교육,음악학원,세종특별자치시 세종특별자치시 조치원읍 신흥리 48-2,세종특별자치시 세종특별자치시 조치원읍 충현로 91
26,MA010120220805448536,혜성주얼리,소매,시계/귀금속 소매업,세종특별자치시 세종특별자치시 도담동 653,세종특별자치시 세종특별자치시 보듬4로 9
27,MA010120220805448766,미요가.필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
28,MA010120220805452173,경진상사,수리·개인,의류/이불 수선업,세종특별자치시 세종특별자치시 어진동 520,세종특별자치시 세종특별자치시 다솜1로 9
29,MA010120220805451879,띵까띵까노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 도담동 657,세종특별자치시 세종특별자치시 한누리대로 583
30,MA010120220805451092,브라운힐스커피숍,음식,카페,세종특별자치시 세종특별자치시 한솔동 933,세종특별자치시 세종특별자치시 노을3로 84
31,MA010120220805454320,서울다방,음식,카페,세종특별자치시 세종특별자치시 조치원읍 상리 136,세종특별자치시 세종특별자치시 조치원읍 장안로 3
32,MA010120220805454012,세종에어컨청소세탁기청소안심클린,수리·개인,가전제품 수리업,세종특별자치시 세종특별자치시 부강면 갈산리 226,세종특별자치시 세종특별자치시 부강면 갈산길 47-14
33,MA010120220805455535,큰맘할매순대국,음식,국/탕/찌개류,세종특별자치시 세종특별자치시 다정동 933,세종특별자치시 세종특별자치시 다정중앙로 52
34,MA010120220805454854,리아필라테스,교육,요가/필라테스 학원,세종특별자치시 세종특별자치시 보람동 755,세종특별자치시 세종특별자치시 호려울로 9
35,MA010120220805457615,인성세무회계사무소,과학·기술,공인회계사,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로 2150
36,MA010120220805457023,세종하이엔드학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 나성동 746,세종특별자치시 세종특별자치시 한누리대로 249
37,MA010120220805459636,모던제이,소매,가방 소매업,세종특별자치시 세종특별자치시 전의면 서정리 102,세종특별자치시 세종특별자치시 전의면 내서길 37
38,MA010120220805461877,캐치업세종,소매,화장품 소매업,세종특별자치시 세종특별자치시 나성동 795,세종특별자치시 세종특별자치시 나성로 125-16
39,MA010120220805461678,세종김연수피부과의원,보건의료,피부/비뇨기과 의원,세종특별자치시 세종특별자치시 새롬동 578,세종특별자치시 세종특별자치시 새롬중앙로 64
40,MA010120220805461520,세종에코아이스링크,예술·스포츠,테니스장,세종특별자치시 세종특별자치시 나성동 785,세종특별자치시 세종특별자치시 나성로 33-10
41,MA010120220805465655,지코바치킨도담,음식,치킨,세종특별자치시 세종특별자치시 도담동 633,세종특별자치시 세종특별자치시 보람로 96
42,MA010120220805465946,카란,음식,일식 회/초밥,세종특별자치시 세종특별자치시 나성동 263,세종특별자치시 세종특별자치시 중앙공원서로 10
43,MA010120220805465135,허씨네맛집,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 번암리 110-1,세종특별자치시 세종특별자치시 조치원읍 허만석로 35
44,MA010120220805468073,하이솔헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 다정동 938,세종특별자치시 세종특별자치시 다정중앙로 40
45,MA010120220805468227,가온약국,소매,약국,세종특별자치시 세종특별자치시 다정동 945,세종특별자치시 세종특별자치시 다정중앙로 57
46,MA010120220805467335,언어의창,교육,입시·교과학원,세종특별자치시 세종특별자치시 소담동 543,세종특별자치시 세종특별자치시 한누리대로 2018
47,MA010120220805470377,부강루,음식,중국집,세종특별자치시 세종특별자치시 부강면 부강리 453-1,세종특별자치시 세종특별자치시 부강면 부강2길 30
48,MA010120220805468847,욜라에땅어린이아뜰리에,소매,서점,세종특별자치시 세종특별자치시 새롬동 585,세종특별자치시 세종특별자치시 새롬중앙로 51
49,MA010120220805468853,달토끼의떡볶이흡입구역,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 아름동 1318,세종특별자치시 세종특별자치시 아름서길 3
50,MA010120220805469136,오월식당,음식,백반/한정식,세종특별자치시 세종특별자치시 전의면 읍내리 102-19,세종특별자치시 세종특별자치시 전의면 운주산로 1292
51,MA010120220805472277,오!닭꼬치,음식,백반/한정식,세종특별자치시 세종특별자치시 다정동 939,세종특별자치시 세종특별자치시 다정중앙로 39
52,MA010120220805470798,행복Q세탁,수리·개인,세탁소,세종특별자치시 세종특별자치시 조치원읍 침산리 257-14,세종특별자치시 세종특별자치시 조치원읍 행복4길 27-1
53,MA010120220805474504,파랑기획,과학·기술,명함/간판/광고물 제작,세종특별자치시 세종특별자치시 장군면 평기리 265-25,세종특별자치시 세종특별자치시 장군면 평기길 108-57
54,MA010120220805476096,피에이치비,과학·기술,경영 컨설팅업,세종특별자치시 세종특별자치시 어진동 657,세종특별자치시 세종특별자치시 가름로 232
55,MA010120220805474955,우창참대구찜해물찜,음식,해산물 구이/찜,세종특별자치시 세종특별자치시 조치원읍 정리 102-16,세종특별자치시 세종특별자치시 조치원읍 새내7길 10
56,MA010120220805478040,디펜스,음식,카페,세종특별자치시 세종특별자치시 조치원읍 침산리 275-9,세종특별자치시 세종특별자치시 조치원읍 문화길 35-6
57,MA010120220805478532,에떼르넬,수리·개인,네일숍,세종특별자치시 세종특별자치시 나성동 727,세종특별자치시 세종특별자치시 한누리대로 331
58,MA010120220805476954,하나조경,시설관리·임대,조경 유지·관리 서비스업,세종특별자치시 세종특별자치시 조치원읍 남리 47-6,세종특별자치시 세종특별자치시 조치원읍 으뜸길 66
59,MA010120220805480046,도담,수리·개인,마사지/안마,세종특별자치시 세종특별자치시 도담동 668,세종특별자치시 세종특별자치시 보듬3로 8-5
60,MA010120220805480310,바른치킨세종,음식,치킨,세종특별자치시 세종특별자치시 종촌동 683,세종특별자치시 세종특별자치시 달빛1로 39
61,MA010120220805480273,송건축사사무소,과학·기술,건축 설계 및 관련 서비스업,세종특별자치시 세종특별자치시 조치원읍 죽림리 416,세종특별자치시 세종특별자치시 조치원읍 군청로 94
62,MA010120220805478751,세종로컬쉼터공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 조치원읍 봉산리 304-4,세종특별자치시 세종특별자치시 조치원읍 봉산로 262-23
63,MA010120220805482381,손정헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 나성동 206,세종특별자치시 세종특별자치시 나성로 38
64,MA010120220805480924,대소해장국,음식,국/탕/찌개류,세종특별자치시 세종특별자치시 연서면 봉암리 218,세종특별자치시 세종특별자치시 연서면 봉암길 3
65,MA010120220805480912,나이스가이,수리·개인,미용실,세종특별자치시 세종특별자치시 새롬동 585,세종특별자치시 세종특별자치시 새롬중앙로 51
66,MA010120220805483620,세종프라임치과,보건의료,치과의원,세종특별자치시 세종특별자치시 어진동 530,세종특별자치시 세종특별자치시 한누리대로 499
67,MA010120220805485766,두마리찜닭두찜세종,음식,닭/오리고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 침산리 269-4,세종특별자치시 세종특별자치시 조치원읍 행복2길 8
68,MA010120220805485821,바이크원오원,소매,자전거 소매업,세종특별자치시 세종특별자치시 한솔동 929,세종특별자치시 세종특별자치시 노을3로 94
69,MA010120220805486294,씨유세종나사스크린골프점,소매,편의점,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로 18
70,MA010120220805486007,앤서니협동조합,소매,슈퍼마켓,세종특별자치시 세종특별자치시 어진동 671,세종특별자치시 세종특별자치시 갈매로 351
71,MA010120220805486580,한국미래융합교육원,교육,교육컨설팅업,세종특별자치시 세종특별자치시 대평동 694,세종특별자치시 세종특별자치시 한누리대로 2275
72,MA010120220805484734,우리끼리키즈카페우주마을,예술·스포츠,기타 스포츠시설 운영업,세종특별자치시 세종특별자치시 고운동 1719,세종특별자치시 세종특별자치시 마음로 74
73,MA010120220805487035,지성종합개발,시설관리·임대,고용 알선업,세종특별자치시 세종특별자치시 조치원읍 죽림리 379-17,세종특별자치시 세종특별자치시 조치원읍 충현로 75
74,MA010120220805487188,서울클라리넷아카데미,교육,음악학원,세종특별자치시 세종특별자치시 다정동 944,세종특별자치시 세종특별자치시 다정중앙로 53
75,MA010120220805489749,자담치킨,음식,치킨,세종특별자치시 세종특별자치시 한솔동 1061,세종특별자치시 세종특별자치시 누리1로 81
76,MA010120220805493142,리스타일헤어,수리·개인,미용실,세종특별자치시 세종특별자치시 아름동 1292,세종특별자치시 세종특별자치시 보듬3로 92
77,MA010120220805496310,코리아세븐세종어진,소매,편의점,세종특별자치시 세종특별자치시 어진동 648,세종특별자치시 세종특별자치시 가름로 255-21
78,MA010120220805495919,아벨,소매,운동용품 소매업,세종특별자치시 세종특별자치시 조치원읍 교리 25-1,세종특별자치시 세종특별자치시 조치원읍 새내로 125
79,MA010120220805495666,가배나루,음식,카페,세종특별자치시 세종특별자치시 집현동 ,세종특별자치시 세종특별자치시 집현서로 45
80,MA010120220805494921,부자상사,소매,슈퍼마켓,세종특별자치시 세종특별자치시 금남면 용포리 190-9,세종특별자치시 세종특별자치시 금남면 대평시장2길 10
81,MA010120220805498270,수작고대점,음식,요리 주점,세종특별자치시 세종특별자치시 조치원읍 서창리 177-4,세종특별자치시 세종특별자치시 조치원읍 내창1길 35
82,MA010120220805498049,세종해들공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 장군면 봉안리 328-3,세종특별자치시 세종특별자치시 장군면 장척로 563
83,MA010120220805498716,가비향,음식,카페,세종특별자치시 세종특별자치시 전동면 청송리 3-6,세종특별자치시 세종특별자치시 전동면 배일길 90-43
84,MA010120220805498000,또래오래세종,음식,치킨,세종특별자치시 세종특별자치시 종촌동 644,세종특별자치시 세종특별자치시 달빛1로 74
85,MA010120220805498314,설악추어탕,음식,국/탕/찌개류,세종특별자치시 세종특별자치시 소담동 557,세종특별자치시 세종특별자치시 법원2로 12
86,MA010120220805497903,세종원행정사사무소,과학·기술,경영 컨설팅업,세종특별자치시 세종특별자치시 나성동 768,세종특별자치시 세종특별자치시 한누리대로 234
87,MA010120220805497417,소소한정육점,소매,정육점,세종특별자치시 세종특별자치시 조치원읍 침산리 275-3,세종특별자치시 세종특별자치시 조치원읍 서북부로 9
88,MA010120220805497154,몬스터합기도,교육,태권도/무술학원,세종특별자치시 세종특별자치시 고운동 1376,세종특별자치시 세종특별자치시 마음로 272-11
89,MA010120220805497381,로고스수학교습소,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 784,세종특별자치시 세종특별자치시 남세종로 469
90,MA010120220805497315,메타국어교습소,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 755,세종특별자치시 세종특별자치시 호려울로 9
91,MA010120220805499866,세종김밥&꼬마김밥,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 139
92,MA010120220805500127,안다미로,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 신안리 398-3,세종특별자치시 세종특별자치시 조치원읍 섭골길 51-25
93,MA010120220805500398,황제명태본가,음식,해산물 구이/찜,세종특별자치시 세종특별자치시 대평동 665,세종특별자치시 세종특별자치시 시청대로 35
94,MA010120220805499510,맘스터치세종나성점,음식,버거,세종특별자치시 세종특별자치시 나성동 809,세종특별자치시 세종특별자치시 나성북로 30
95,MA010120220805502153,목화다방,음식,카페,세종특별자치시 세종특별자치시 장군면 도계리 154-26,세종특별자치시 세종특별자치시 장군면 장척로 402
96,MA010120220805501108,알파문구카피,소매,문구/회화용품 소매업,세종특별자치시 세종특별자치시 반곡동 308,세종특별자치시 세종특별자치시 국책연구원2로 18
97,MA010120220805504194,세계산업,과학·기술,명함/간판/광고물 제작,세종특별자치시 세종특별자치시 조치원읍 죽림리 245-6,세종특별자치시 세종특별자치시 조치원읍 충현로 30-24
98,MA010120220805503180,국수나무세종,음식,국수/칼국수,세종특별자치시 세종특별자치시 보람동 722,세종특별자치시 세종특별자치시 한누리대로 2150
99,MA010120220805502771,우리동네출장세차,수리·개인,자동차 세차장,세종특별자치시 세종특별자치시 장군면 봉안리 439-8,세종특별자치시 세종특별자치시 장군면 장척로 519
100,MA010120220805508443,충효체육관,교육,레크리에이션 교육기관,세종특별자치시 세종특별자치시 다정동 938,세종특별자치시 세종특별자치시 다정중앙로 40
101,MA010120220805508721,세익메디칼,소매,의료기기 소매업,세종특별자치시 세종특별자치시 나성동 792,세종특별자치시 세종특별자치시 나성로 133-9
102,MA010120220805508200,혼밥마루,음식,백반/한정식,세종특별자치시 세종특별자치시 도담동 656,세종특별자치시 세종특별자치시 한누리대로 587
103,MA010120220805510544,모닝글로리세종,소매,문구/회화용품 소매업,세종특별자치시 세종특별자치시 반곡동 49-13,세종특별자치시 세종특별자치시 한누리대로 1824
104,MA010120220805510483,국본갈비,음식,돼지고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 신안리 391,세종특별자치시 세종특별자치시 조치원읍 섭골길 30
105,MA010120220805512264,나나투어,시설관리·임대,여행사,세종특별자치시 세종특별자치시 조치원읍 상리 96,세종특별자치시 세종특별자치시 조치원읍 터미널안길 60
106,MA010120220805512222,네일더빛날,수리·개인,네일숍,세종특별자치시 세종특별자치시 아름동 1309,세종특별자치시 세종특별자치시 세종로 1234-16
107,MA010120220805512349,세븐모텔,숙박,여관/모텔,세종특별자치시 세종특별자치시 연서면 월하리 531-2,세종특별자치시 세종특별자치시 연서면 당산로 495-12
108,MA010120220805510993,플라이하이스터디카페,예술·스포츠,독서실/스터디 카페,세종특별자치시 세종특별자치시 반곡동 45-14,세종특별자치시 세종특별자치시 한누리대로 1828
109,MA010120220805515005,우리끼리키즈카페숲속마을,예술·스포츠,기타 오락장,세종특별자치시 세종특별자치시 아름동 1332,세종특별자치시 세종특별자치시 아름서1길 13-4
110,MA010120220805517922,정희책방,소매,서점,세종특별자치시 세종특별자치시 부강면 부강리 439-7,세종특별자치시 세종특별자치시 부강면 부강로 31
111,MA010120220805518607,청룡자동차정비,수리·개인,자동차 정비소,세종특별자치시 세종특별자치시 소정면 운당리 76-4,세종특별자치시 세종특별자치시 소정면 차령고개로 1081-1
112,MA010120220805517672,아소비세종새롬학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 새롬동 579,세종특별자치시 세종특별자치시 새롬중앙로 62-15
113,MA010120220805517696,하늘소아청소년과의원,보건의료,내과/소아과 의원,세종특별자치시 세종특별자치시 반곡동 49-14,세종특별자치시 세종특별자치시 한누리대로 1820
114,MA010120220805520626,무진부동산중개사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 조치원읍 신흥리 45-4,세종특별자치시 세종특별자치시 조치원읍 신흥샛터길 42
115,MA010120220805520157,아부찌,음식,백반/한정식,세종특별자치시 세종특별자치시 조치원읍 신흥리 398,세종특별자치시 세종특별자치시 조치원읍 도원1로 16
116,MA010120220805519380,예린인테리어,과학·기술,인테리어 디자인업,세종특별자치시 세종특별자치시 부강면 문곡리 849-12,세종특별자치시 세종특별자치시 부강면 문곡자창이길 51-13
117,MA010120220805519196,엘지인테리어필름,소매,벽지/장판/마루 소매업,세종특별자치시 세종특별자치시 금남면 신촌리 113-1,세종특별자치시 세종특별자치시 금남면 금남구즉로 110-9
118,MA010120220805520824,윤즈샵,수리·개인,네일숍,세종특별자치시 세종특별자치시 대평동 699,세종특별자치시 세종특별자치시 한누리대로 2257
119,MA010120220805522198,호라이즌,음식,카페,세종특별자치시 세종특별자치시 고운동 1250,세종특별자치시 세종특별자치시 마음로 230
120,MA010120220805521166,시크마선란,소매,기타 의류 소매업,세종특별자치시 세종특별자치시 장군면 태산리 113,세종특별자치시 세종특별자치시 장군면 태산길 50-25
121,MA010120220805521207,유성본가누룽지삼계탕,음식,닭/오리고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 침산리 269-10,세종특별자치시 세종특별자치시 조치원읍 행복길 9
122,MA010120220805524498,더달달,소매,슈퍼마켓,세종특별자치시 세종특별자치시 고운동 1400,세종특별자치시 세종특별자치시 마음로 181
123,MA010120220805526148,공감건축사사무소,과학·기술,건축 설계 및 관련 서비스업,세종특별자치시 세종특별자치시 어진동 657,세종특별자치시 세종특별자치시 가름로 232
124,MA010120220805526352,할리스커피세종,음식,카페,세종특별자치시 세종특별자치시 보람동 708,세종특별자치시 세종특별자치시 시청대로 167
125,MA010120220805527014,제이컴퍼니,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 장군면 도계리 226-1,세종특별자치시 세종특별자치시 장군면 안동네길 45-3
126,MA010120220805530244,써니텐,음식,생맥주 전문,세종특별자치시 세종특별자치시 나성동 796,세종특별자치시 세종특별자치시 나성로 125-10
127,MA010120220805529397,김밥천국봉암점,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 연서면 봉암리 218-3,세종특별자치시 세종특별자치시 연서면 봉암길 147
128,MA010120220805529295,산들식당,음식,백반/한정식,세종특별자치시 세종특별자치시 전동면 노장리 639-1,세종특별자치시 세종특별자치시 전동면 운주산로 352
129,MA010120220805532543,금쪽닭발,음식,닭/오리고기 구이/찜,세종특별자치시 세종특별자치시 조치원읍 침산리 257-11,세종특별자치시 세종특별자치시 조치원읍 행복4길 31
130,MA010120220805533606,설빙,음식,아이스크림/빙수,세종특별자치시 세종특별자치시 아름동 1362,세종특별자치시 세종특별자치시 보듬3로 91
131,MA010120220805532382,규카츠정나성점,음식,일식 회/초밥,세종특별자치시 세종특별자치시 나성동 791,세종특별자치시 세종특별자치시 나성로 133-15
132,MA010120220805531373,카나다그린푸드,교육,외국어학원,세종특별자치시 세종특별자치시 보람동 710,세종특별자치시 세종특별자치시 시청대로 209
133,MA010120220805531438,반찬/식료품 소매업,소매,반찬/식료품 소매업,세종특별자치시 세종특별자치시 고운동 1408,세종특별자치시 세종특별자치시 마음로 151
134,MA010120220805532110,쿡노래연습장,예술·스포츠,노래방,세종특별자치시 세종특별자치시 조치원읍 서창리 294-7,세종특별자치시 세종특별자치시 조치원읍 돌마루6길 3
135,MA010120220805534175,세종현대리버파크공인중개사사무소,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 소담동 540,세종특별자치시 세종특별자치시 한누리대로 2012
136,MA010120220805534647,수통신,소매,핸드폰 소매업,세종특별자치시 세종특별자치시 보람동 759,세종특별자치시 세종특별자치시 남세종로 454
137,MA010120220805534251,남성컷,수리·개인,미용실,세종특별자치시 세종특별자치시 고운동 2112,세종특별자치시 세종특별자치시 마음안1로 137
138,MA010120220805533431,진성민속촌,음식,백반/한정식,세종특별자치시 세종특별자치시 부강면 부강리 1018-12,세종특별자치시 세종특별자치시 부강면 청연로 125
139,MA010120220805533053,민행리더스행정사사무소,과학·기술,행정사,세종특별자치시 세종특별자치시 어진동 686,세종특별자치시 세종특별자치시 한누리대로 350
140,MA010120220805533761,하이로왕마라탕,음식,마라탕/훠궈,세종특별자치시 세종특별자치시 조치원읍 정리 87-7,세종특별자치시 세종특별자치시 조치원읍 새내로 90-2
141,MA010120220805536836,브레인교육,교육,입시·교과학원,세종특별자치시 세종특별자치시 보람동 756,세종특별자치시 세종특별자치시 남세종로 466
142,MA010120220805536893,디에스안전,시설관리·임대,사업시설 유지·관리 서비스업,세종특별자치시 세종특별자치시 어진동 670,세종특별자치시 세종특별자치시 갈매로 353
143,MA010120220805541864,꿈이다스터디카페,예술·스포츠,독서실/스터디 카페,세종특별자치시 세종특별자치시 어진동 547,세종특별자치시 세종특별자치시 절재로 194
144,MA010120220805541714,만두네가,음식,김밥/만두/분식,세종특별자치시 세종특별자치시 나성동 714,세종특별자치시 세종특별자치시 한누리대로 205
145,MA010120220805544475,한아름보리밥,음식,백반/한정식,세종특별자치시 세종특별자치시 아름동 1099,세종특별자치시 세종특별자치시 보듬7로 94
146,MA010120220805544810,"희,네일",수리·개인,네일숍,세종특별자치시 세종특별자치시 고운동 2088,세종특별자치시 세종특별자치시 만남로 146
147,MA010120220805543913,토라돈카츠,음식,일식 회/초밥,세종특별자치시 세종특별자치시 아름동 1309,세종특별자치시 세종특별자치시 세종로 1234-16
148,MA010120220805543207,약손,수리·개인,마사지/안마,세종특별자치시 세종특별자치시 금남면 용포리 127-2,세종특별자치시 세종특별자치시 금남면 용포로 65
149,MA010120220805547142,강한학원,교육,입시·교과학원,세종특별자치시 세종특별자치시 나성동 746,세종특별자치시 세종특별자치시 한누리대로 249
150,MA010120220805547666,명금당,소매,시계/귀금속 소매업,세종특별자치시 세종특별자치시 부강면 부강리 438-2,세종특별자치시 세종특별자치시 부강면 부강4길 5-1
151,MA010120220805546443,정원엔지니어링,과학·기술,건물 및 토목 엔지니어링 서비스업,세종특별자치시 세종특별자치시 조치원읍 죽림리 103-8,세종특별자치시 세종특별자치시 조치원읍 군청로 90
152,MA010120220805546140,신우플랜,부동산,부동산 중개/대리업,세종특별자치시 세종특별자치시 나성동 752,세종특별자치시 세종특별자치시 한누리대로 219
153,MA010120220805545792,서울명품옷수선,수리·개인,의류/이불 수선업,세종특별자치시 세종특별자치시 나성동 712,세종특별자치시 세종특별자치시 한누리대로 211
154,MA010120220805545235,우주커피,음식,카페,세종특별자치시 세종특별자치시 어진동 608,세종특별자치시 세종특별자치시 도움8로 81
155,MA010120220805545074,망고통신,소매,핸드폰 소매업,세종특별자치시 세종특별자치시 조치원읍 평리 23-28,세종특별자치시 세종특별자치시 조치원읍 문화로 16-1
156,MA010120220805549589,미처버린신발,소매,신발 소매업,세종특별자치시 세종특별자치시 조치원읍 원리 6-9,세종특별자치시 세종특별자치시 조치원읍 조치원로 20
157,MA010120220805548386,GS25세종번암점,소매,편의점,세종특별자치시 세종특별자치시 조치원읍 번암리 75-1,세종특별자치시 세종특별자치시 조치원읍 군청로 24
158,MA010120220805547188,리딩리더아카데미어학원,교육,외국어학원,세종특별자치시 세종특별자치시 보람동 761,세종특별자치시 세종특별자치시 남세종로 446
159,MA010120220805547822,대복식당,음식,백반/한정식,세종특별자치시 세종특별자치시 연기면 연기리 427-1,세종특별자치시 세종특별자치시 연기면 당산로 125
160,MA010120220805551824,삼거리카공업사,수리·개인,자동차 정비소,세종특별자치시 세종특별자치시 부강면 부강리 453-12,세종특별자치시 세종특별자치시 부강면 오대길 35
161,MA010120220805551395,돈가스에반하다,음식,경양식,세종특별자치시 세종특별자치시 부강면 부강리 434-18,세종특별자치시 세종특별자치시 부강면 부강5길 4
162,MA010120220805551347,담배/전자담배 소매업,소매,담배/전자담배 소매업,세종특별자치시 세종특별자치시 부강면 부강리 464-19,세종특별자치시 세종특별자치시 부강면 부강5길 21
163,MA010120220805551108,애드뱅크,과학·기술,명함/간판/광고물 제작,세종특별자치시 세종특별자치시 도담동 660,세종특별자치시 세종특별자치시 보듬3로 8-20
164,MA010120220805551519,송월토속촌,음식,백반/한정식,세종특별자치시 세종특별자치시 부강면 문곡리 718,세종특별자치시 세종특별자치시 부강면 부강외천로 190-4
165,MA010120220805551880,금호손세차장,수리·개인,자동차 세차장,세종특별자치시 세종특별자치시 조치원읍 서창리 60-16,세종특별자치시 세종특별자치시 조치원읍 세종로 2512
166,MA010120220805551357,다듬공예,소매,기념품점,세종특별자치시 세종특별자치시 부강면 등곡리 173,세종특별자치시 세종특별자치시 부강면 노호등곡1로 112-7
167,MA010120220805550648,부강상사,소매,가정용 연료 소매업,세종특별자치시 세종특별자치시 부강면 부강리 433-10,세종특별자치시 세종특별자치시 부강면 부강로 23
168,MA010120220805549752,백반/한정식,음식,백반/한정식,세종특별자치시 세종특별자치시 부강면 부강리 443-4,세종특별자치시 세종특별자치시 부강면 부촌길 48
